SeID,Length
1936,142.66
1937,136.43
1938,71.68
1939,44.06
1940,200.76
1941,2848.3
1942,203.8
1943,80.24
1944,195.43
1945,63.94
1946,114.36
1947,838.94
1948,208.86
1949,438.29
1950,237.91
1951,0
1952,373.71
1953,42.15
1954,201.62
1955,341.24
1956,140.47
1957,93.78
1958,77.73
1959,52.83
1960,230.77
1961,364.87
1962,521.05
1963,476.59
1964,906.35
1965,108.73
1966,181.47
1967,61.78
1968,25.07
1969,83.09
1970,59.1
1971,20.4
1972,118.89
1973,390.7
1974,188.73
1975,62.99
1976,173.67
1977,168.82
1978,266.04
1979,1158.61
1980,1544.82
1981,851.95
1982,167.35
1983,516.07
1984,15.92
1985,546.3
1986,304.79
1987,181.12
1988,170.56
1989,249.13
1990,160.22
1991,38.72
1992,153.48
1993,432.72
1994,493.5
1995,875.67
1996,0
1997,638.85
1998,354.6
1999,34.82
2000,26.64
2001,270.5
2002,48.93
2003,104.94
2004,14.12
2005,20.73
2006,1282.76
2007,216.84
2008,15.03
2009,151.69
2010,219.02
2011,35.89
2012,37.38
2013,17.27
2014,318.6
2015,92.35
2016,545.53
2017,78.72
2018,585.76
2019,279.4
2020,425.52
2021,0.8
2022,103.96
2023,5.41
2024,28.32
2025,268.89
2026,389.67
2027,300.1
2028,120.55
2029,128.07
2030,276.37
2031,637.28
2032,1069.52
2033,356.83
2034,140.1
2035,181.07
2036,2776.57
2037,217.16
2038,1430.24
2039,16.05
2040,184.07
2041,368.12
2042,200.32
2043,456.03
2044,25.64
2045,275.58
2046,121.38
2047,567.86
2048,582
2049,163.3
2050,1444.85
2051,555.46
2052,188.84
2053,181.37
2054,202.12
2055,280.88
2056,112.75
2057,87.32
2058,74.83
2059,224.88
2060,155.55
2061,134.85
2062,89.79
2063,181.16
2064,64.13
2065,118.14
2066,72.47
2067,253.61
2068,103.24
2069,208.38
2070,201.65
2071,276.29
2072,162.94
2073,189.6
2074,48.71
2075,0
2076,63.95
2077,70.68
2078,99.47
2079,49.66
2080,184.13
2081,105.9
2082,309.51
2083,219
2084,415.26
2085,158.64
2086,256.28
2087,13.78
2088,438.36
2089,141.38
2090,237.3
2091,142.66
2092,147.87
2093,42.98
2094,111.4
2095,1244.84
2096,574.44
2097,182.27
2098,230.6
2099,303.28
2100,413.74
2101,159.15
2102,312.78
2103,225.51
2104,292.55
2105,333.76
2106,45.58
2107,405.36
2108,122.38
2109,271.15
2110,130.07
2111,123.66
2112,40.73
2113,830.99
2114,256.73
2115,55.57
2116,577.62
2117,229.97
2118,206.39
2119,1966.91
2120,161.55
2121,106.84
2122,327.84
2123,433.13
